# sep ran on SN2635 host, threshold = 0.02, deblend_cont=0.02
#thresh, npix, tnpix, xmin, xmax, ymin, ymax, x, y, x2, y2, xy, a, b, theta, cxx, cyy, cxy, cflux, flux, cpeak, peak, xcpeak, ycpeak, xpeak, ypeak, flag
#, , , , , , , pix, pix, , , , pix, pix, rad, , , , , , , , , , , ,
6.500000134110450745e-03,1.080000000000000000e+02,1.070000000000000000e+02,1.000000000000000000e+00,1.500000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,8.324129606168686024e+00,2.504482706881704601e+00,9.824838948182566867e+00,3.727171786992677482e+00,-9.034344321525011878e-02,3.134673357009887695e+00,1.930241823196411133e+00,-1.481173280626535416e-02,1.018055304884910583e-01,2.683597505092620850e-01,4.935357253998517990e-03,2.413196086883544922e+00,2.558210134506225586e+00,6.236396729946136475e-02,6.728506833314895630e-02,9.000000000000000000e+00,1.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
6.500000134110450745e-03,1.410000000000000000e+02,1.400000000000000000e+02,2.020000000000000000e+02,2.200000000000000000e+02,5.000000000000000000e+00,1.300000000000000000e+01,2.112919486252955039e+02,8.870281941381703561e+00,2.668996524220304423e+01,4.722345240716014914e+00,2.060128973212975723e+00,5.184736728668212891e+00,2.128571271896362305e+00,9.270320087671279907e-02,3.877286612987518311e-02,2.191382497549057007e-01,-3.382942453026771545e-02,1.373366713523864746e+00,1.401789188385009766e+00,1.423399243503808975e-02,1.470867916941642761e-02,2.070000000000000000e+02,9.000000000000000000e+00,2.070000000000000000e+02,9.000000000000000000e+00,0.000000000000000000e+00
6.500000134110450745e-03,1.180000000000000000e+02,1.180000000000000000e+02,1.760000000000000000e+02,1.920000000000000000e+02,5.000000000000000000e+00,1.400000000000000000e+01,1.848570540860991116e+02,9.682146461643256430e+00,1.528823961820636157e+01,5.062181599154669698e+00,-2.968651792579485971e+00,4.010931015014648438e+00,2.064667940139770508e+00,-2.630183100700378418e-01,7.381538301706314087e-02,2.229290306568145752e-01,8.657617866992950439e-02,1.126729846000671387e+00,1.145844340324401855e+00,1.345294993370771408e-02,1.379405334591865540e-02,1.870000000000000000e+02,9.000000000000000000e+00,1.870000000000000000e+02,9.000000000000000000e+00,0.000000000000000000e+00
6.500000134110450745e-03,6.700000000000000000e+01,6.700000000000000000e+01,1.090000000000000000e+02,1.170000000000000000e+02,6.000000000000000000e+00,1.500000000000000000e+01,1.124262949418532855e+02,1.086279570921181303e+01,3.847253780183695682e+00,5.375605839610546610e+00,4.826736680648835431e-01,2.348462581634521484e+00,1.925508499145507812e+00,1.289121270179748535e+00,2.628870606422424316e-01,1.881449818611145020e-01,-4.720906540751457214e-02,7.172566652297973633e-01,7.378911972045898438e-01,1.672184839844703674e-02,1.754971966147422791e-02,1.120000000000000000e+02,1.100000000000000000e+01,1.120000000000000000e+02,1.100000000000000000e+01,0.000000000000000000e+00
6.500000134110450745e-03,2.400000000000000000e+02,2.390000000000000000e+02,1.430000000000000000e+02,1.710000000000000000e+02,3.000000000000000000e+00,1.500000000000000000e+01,1.582702698488614033e+02,8.221143559759092057e+00,6.029372255216213716e+01,7.476662730772016374e+00,-4.632097302534717187e+00,7.790820598602294922e+00,2.659605503082275391e+00,-8.681762963533401489e-02,1.741433702409267426e-02,1.404336690902709961e-01,2.157778292894363403e-02,2.726568937301635742e+00,2.771410226821899414e+00,2.266482822597026825e-02,2.345433644950389862e-02,1.640000000000000000e+02,8.000000000000000000e+00,1.640000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00
6.500000134110450745e-03,1.340000000000000000e+02,1.340000000000000000e+02,2.390000000000000000e+02,2.530000000000000000e+02,5.000000000000000000e+00,1.600000000000000000e+01,2.454248145229825013e+02,1.075744495276589596e+01,1.181520730710176537e+01,7.062532948612350481e+00,1.569257686650502137e+00,3.505224227905273438e+00,2.567322254180908203e+00,2.918147444725036621e-01,8.721037209033966064e-02,1.458978801965713501e-01,-3.875537216663360596e-02,1.591077327728271484e+00,1.623943924903869629e+00,2.164306864142417908e-02,2.250160463154315948e-02,2.440000000000000000e+02,1.000000000000000000e+01,2.440000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00
6.500000134110450745e-03,2.860000000000000000e+02,2.790000000000000000e+02,2.680000000000000000e+02,2.960000000000000000e+02,7.000000000000000000e+00,1.900000000000000000e+01,2.819198073877707316e+02,1.239245982075479979e+01,5.114759824975729430e+01,8.093652509479557722e+00,1.118425813531288782e+00,7.153784275054931641e+00,2.839827060699462891e+00,2.595397643744945526e-02,1.961051672697067261e-02,1.239280775189399719e-01,-5.419780034571886063e-03,3.865570306777954102e+00,3.913471698760986328e+00,2.424760535359382629e-02,2.506684325635433197e-02,2.760000000000000000e+02,1.200000000000000000e+01,2.760000000000000000e+02,1.200000000000000000e+01,0.000000000000000000e+00
6.500000134110450745e-03,7.550000000000000000e+02,7.530000000000000000e+02,3.200000000000000000e+01,9.600000000000000000e+01,0.000000000000000000e+00,2.200000000000000000e+01,6.914607083094489326e+01,6.003745723671557677e+00,3.103363387814631551e+02,1.832387452934787575e+01,-3.236488818285192792e+01,1.771667098999023438e+01,3.844445466995239258e+00,-1.090703010559082031e-01,3.949895501136779785e-03,6.689612567424774170e-02,1.395315490663051605e-02,1.150440883636474609e+01,1.171121692657470703e+01,8.258770406246185303e-02,8.683466166257858276e-02,8.600000000000000000e+01,3.000000000000000000e+00,8.600000000000000000e+01,3.000000000000000000e+00,2.000000000000000000e+00
6.500000134110450745e-03,1.680000000000000000e+02,1.670000000000000000e+02,1.290000000000000000e+02,1.380000000000000000e+02,1.000000000000000000e+00,2.400000000000000000e+01,1.330925293836213541e+02,1.193467417027491706e+01,4.019797283162912294e+00,4.027749694700152361e+01,3.273726531436338405e-01,6.346688270568847656e+00,2.004205942153930664e+00,1.561768293380737305e+00,2.489335387945175171e-01,2.484420500695705414e-02,-4.046628717333078384e-03,1.962703943252563477e+00,2.008771419525146484e+00,1.910388655960559845e-02,1.995683647692203522e-02,1.330000000000000000e+02,6.000000000000000000e+00,1.330000000000000000e+02,6.000000000000000000e+00,0.000000000000000000e+00
6.500000134110450745e-03,1.140000000000000000e+02,1.140000000000000000e+02,3.140000000000000000e+02,3.240000000000000000e+02,1.100000000000000000e+01,2.400000000000000000e+01,3.183058473014780816e+02,1.771391656721658592e+01,6.486851490026801059e+00,1.082316228387742285e+01,1.612792732525392125e-02,3.289866685867309570e+00,2.546918153762817383e+00,1.567077159881591797e+00,1.541585624217987061e-01,9.239478409290313721e-02,-4.594328347593545914e-04,1.091589689254760742e+00,1.113363862037658691e+00,1.207256410270929337e-02,1.223821286112070084e-02,3.180000000000000000e+02,1.900000000000000000e+01,3.170000000000000000e+02,2.100000000000000000e+01,0.000000000000000000e+00
