# sep ran on SN2635 host, threshold = 0.02, deblend_cont=0.02
#thresh, npix, tnpix, xmin, xmax, ymin, ymax, x, y, x2, y2, xy, a, b, theta, cxx, cyy, cxy, cflux, flux, cpeak, peak, xcpeak, ycpeak, xpeak, ypeak, flag
#, , , , , , , pix, pix, , , , pix, pix, rad, , , , , , , , , , , ,
1.999999955296516418e-02,9.000000000000000000e+01,8.900000000000000000e+01,8.100000000000000000e+01,9.200000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,8.622880309214812655e+01,3.640954704968250688e+00,6.816733227290423969e+00,4.561520835928504880e+00,3.533791179058809462e-02,2.610993385314941406e+00,2.135642051696777344e+00,1.566431112587451935e-02,1.467037200927734375e-01,2.192339301109313965e-01,-2.273015212267637253e-03,4.021541118621826172e+00,4.158932209014892578e+00,8.258770406246185303e-02,8.683466166257858276e-02,8.600000000000000000e+01,3.000000000000000000e+00,8.600000000000000000e+01,3.000000000000000000e+00,2.000000000000000000e+00
1.999999955296516418e-02,1.700000000000000000e+02,1.660000000000000000e+02,3.740000000000000000e+02,3.880000000000000000e+02,7.000000000000000000e+00,2.100000000000000000e+01,3.805534498918608506e+02,1.380925439405008959e+01,9.067321028267663507e+00,8.287516752396271613e+00,-5.621820480014108057e-01,3.059669494628906250e+00,2.827235460281372070e+00,-4.822057187557220459e-01,1.107519641518592834e-01,1.211730390787124634e-01,1.502567436546087265e-02,1.229764842987060547e+01,1.241406154632568359e+01,1.936455219984054565e-01,2.035032659769058228e-01,3.810000000000000000e+02,1.400000000000000000e+01,3.810000000000000000e+02,1.400000000000000000e+01,0.000000000000000000e+00
1.999999955296516418e-02,1.850000000000000000e+02,1.820000000000000000e+02,6.530000000000000000e+02,6.670000000000000000e+02,1.600000000000000000e+01,3.000000000000000000e+01,6.597783982306422104e+02,2.321953295823465879e+01,8.294901636733840178e+00,8.160263880648678025e+00,-9.258521150201204364e-03,2.880197048187255859e+00,2.856506586074829102e+00,-6.833744049072265625e-02,1.205561310052871704e-01,1.225452125072479248e-01,2.735625894274562597e-04,2.519306755065917969e+01,2.538865280151367188e+01,4.302805364131927490e-01,4.537603557109832764e-01,6.600000000000000000e+02,2.300000000000000000e+01,6.600000000000000000e+02,2.300000000000000000e+01,0.000000000000000000e+00
1.999999955296516418e-02,6.800000000000000000e+01,6.800000000000000000e+01,7.940000000000000000e+02,8.010000000000000000e+02,2.600000000000000000e+01,3.600000000000000000e+01,7.976460220609616272e+02,3.049910294256231680e+01,3.879433905805282023e+00,7.015507880192533463e+00,1.602919651904390008e+00,2.773051023483276367e+00,1.790287733078002930e+00,1.172597169876098633e+00,2.846411764621734619e-01,1.574008166790008545e-01,-1.300709694623947144e-01,1.801342844963073730e+00,1.839076995849609375e+00,3.535606712102890015e-02,3.666211292147636414e-02,7.970000000000000000e+02,2.900000000000000000e+01,7.970000000000000000e+02,2.900000000000000000e+01,0.000000000000000000e+00
1.999999955296516418e-02,6.100000000000000000e+01,6.100000000000000000e+01,8.410000000000000000e+02,8.480000000000000000e+02,3.200000000000000000e+01,4.100000000000000000e+01,8.442788581831836154e+02,3.671538918764588999e+01,3.679419140853154246e+00,5.327788212936837908e+00,1.166551659448922251e+00,2.435555934906005859e+00,1.753646135330200195e+00,1.092940211296081543e+00,2.920564413070678711e-01,2.016968578100204468e-01,-1.278950721025466919e-01,1.799607992172241211e+00,1.850365281105041504e+00,4.231164604425430298e-02,4.430653899908065796e-02,8.450000000000000000e+02,3.700000000000000000e+01,8.450000000000000000e+02,3.800000000000000000e+01,0.000000000000000000e+00
1.999999955296516418e-02,1.430000000000000000e+02,1.360000000000000000e+02,1.102000000000000000e+03,1.114000000000000000e+03,3.200000000000000000e+01,4.400000000000000000e+01,1.108127441459279453e+03,3.798108379704040516e+01,7.523695995941288572e+00,7.629425109892999046e+00,-1.752813097620986582e-01,2.785613059997558594e+00,2.719095468521118164e+00,-9.318594336509704590e-01,1.329845786094665527e-01,1.311416625976562500e-01,6.110476329922676086e-03,9.562712669372558594e+00,9.679274559020996094e+00,1.649325042963027954e-01,1.735990047454833984e-01,1.108000000000000000e+03,3.800000000000000000e+01,1.108000000000000000e+03,3.800000000000000000e+01,0.000000000000000000e+00
1.999999955296516418e-02,2.190000000000000000e+02,2.140000000000000000e+02,1.156000000000000000e+03,1.178000000000000000e+03,3.400000000000000000e+01,4.600000000000000000e+01,1.169700571369376121e+03,3.982198634243018631e+01,2.357099685374600995e+01,6.980298146154417793e+00,-1.586619386051353331e+00,4.870458602905273438e+00,2.613413095474243164e+00,-9.449183940887451172e-02,4.308421164751052856e-02,1.454863101243972778e-01,1.958605274558067322e-02,1.280840206146240234e+01,1.294755363464355469e+01,1.730500757694244385e-01,1.817154884338378906e-01,1.172000000000000000e+03,4.000000000000000000e+01,1.172000000000000000e+03,4.000000000000000000e+01,0.000000000000000000e+00
1.999999955296516418e-02,8.800000000000000000e+01,8.700000000000000000e+01,1.380000000000000000e+03,1.392000000000000000e+03,4.400000000000000000e+01,5.200000000000000000e+01,1.385659035576463566e+03,4.777293134774163974e+01,8.576734801832728294e+00,4.610468286765858181e+00,-1.109726479459297366e+00,2.977602005004882812e+00,2.078723192214965820e+00,-2.550851702690124512e-01,1.203423440456390381e-01,2.238697558641433716e-01,5.793211609125137329e-02,2.499889373779296875e+00,2.542207717895507812e+00,4.122471064329147339e-02,4.267473518848419189e-02,1.386000000000000000e+03,4.700000000000000000e+01,1.386000000000000000e+03,4.700000000000000000e+01,0.000000000000000000e+00
1.999999955296516418e-02,8.500000000000000000e+01,8.500000000000000000e+01,2.400000000000000000e+01,3.100000000000000000e+01,4.100000000000000000e+01,5.400000000000000000e+01,2.753893804565072401e+01,4.847421533567353436e+01,3.498364927735856611e+00,1.271859733588379981e+01,1.375949761568541874e+00,3.594377994537353516e+00,1.815877079963684082e+00,1.425773262977600098e+00,2.985512018203735352e-01,8.211920410394668579e-02,-6.459698081016540527e-02,2.183461666107177734e+00,2.225081205368041992e+00,3.480762615799903870e-02,3.589270636439323425e-02,2.800000000000000000e+01,5.100000000000000000e+01,2.800000000000000000e+01,5.100000000000000000e+01,0.000000000000000000e+00
1.999999955296516418e-02,1.520000000000000000e+02,1.480000000000000000e+02,8.260000000000000000e+02,8.390000000000000000e+02,4.300000000000000000e+01,5.600000000000000000e+01,8.325567747567185961e+02,4.991833003913986744e+01,7.282560360029279423e+00,8.406480515590295965e+00,-5.414264197749929508e-02,2.899841785430908203e+00,2.698139667510986328e+00,-1.522771477699279785e+00,1.373209208250045776e-01,1.189615428447723389e-01,1.768853748217225075e-03,1.186503505706787109e+01,1.201974010467529297e+01,2.007786929607391357e-01,2.110615521669387817e-01,8.330000000000000000e+02,5.000000000000000000e+01,8.330000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00
