,CID,Z,Z_ERR,SN_RA,SN_DEC,GAL_RA,GAL_DEC,HOST_OBJID,X0,X0_ERR,X1,X1_ERR,COLOR,COLOR_ERR,C01,C00,C11,C22,C02,C12,MU,MU_MB,MU_ERR,u,u uncert,g,g uncert,r,r uncert,i,i uncert,z,z uncert,fsps chi2,fsps const,logzsol,tau,sf_start,dust2,age,age uncert,HR
0,10028,0.06539160013198853,9.499999578110874e-06,17.741899490356445,0.27625301480293274,17.741844177246094,0.27616000175476074,1237666339726360676,0.0008294680155813694,2.663180021045264e-05,-1.1674100160598755,0.2657549977302551,0.009723549708724022,0.034279100596904755,-1.4098500287218485e-06,7.092529896723931e-10,0.07062579691410065,0.0011750500416383147,-6.785010100429645e-07,-0.00010772999667096883,37.020198822021484,37.02252197265625,0.09020110219717026,21.223124465173644,0.04122476719680612,19.45378309293492,0.003413605253261197,18.64055631989234,0.001933807319025897,18.274015616509995,0.001704239862974277,17.984475312986497,0.003942567913921623,7.893346749422098,-25.09503173828125,-0.88,0.5,7.0,1.0,5.487255275554396,2.8975061250538388,-0.21023879049590022
1,10037,0.25381600856781006,4.859999899053946e-05,-40.49599838256836,1.1153199672698975,-40.495548248291016,1.1153199672698975,1237678617936986968,3.6320700019132346e-05,3.6926298889738973e-06,-0.986515998840332,0.7801169753074646,0.05737780034542084,0.08828719705343246,-2.2064400582166854e-06,1.3635499847286514e-11,0.6085829734802246,0.007794629782438278,-2.0586900006946962e-07,0.030929099768400192,40.307498931884766,40.3277587890625,0.2004290074110031,25.210887651471158,1.5287456260975671,22.28160819699568,0.0344305535202578,20.957668170814962,0.014844896212760852,20.31804310969931,0.011875364985966547,19.90063077441626,0.03086121255545224,9.237503466834752,-27.24578857421875,-0.88,1.0,1.0,1.5,8.86540199926989,7.337155884019607,-0.12160322486860053
2,1032,0.1297551989555359,3.396579995751381e-05,46.7958984375,1.1199899911880493,46.79570007324219,1.1195449829101562,1237666302164664434,0.00010517299961065874,4.5804999899701215e-06,-2.4767000675201416,0.23631399869918823,0.11185400187969208,0.042552001774311066,-3.464070061909297e-07,2.098089930957503e-11,0.055844299495220184,0.0018106700154021382,-1.430060052598492e-07,0.00041377099114470184,38.6609992980957,38.667022705078125,0.12440700083971024,24.920457094220268,0.6110913525116782,24.74364320494908,0.16137279737531657,23.73052934437763,0.09854286683048548,23.32075466396094,0.11723403829675755,22.86597812928584,0.2658210630939464,4.727218333302985,-21.9541015625,-0.2,6.0,0.0,1.5,8.038485030790557,0.5983482964737793,-0.15412571647477336
3,10324,0.2517249882221222,3.149999974993989e-05,-23.381999969482422,0.5868459939956665,-23.382383346557617,0.5867900252342224,1237663479797121475,5.4426200222224e-05,4.254370196576929e-06,-1.6851199865341187,0.7419490218162537,-0.06459149718284607,0.06777150183916092,-2.50480002250697e-06,1.8099700557772103e-11,0.5504879951477051,0.004592979792505503,-1.890490040068471e-07,0.025746900588274002,40.097198486328125,40.11717224121094,0.1513890027999878,24.617600038296274,0.6015281335811403,23.986003204509124,0.10784501732942262,23.12758804978182,0.061509061379031976,22.81164935575058,0.0670965052775299,22.45089238839543,0.17767891510874684,0.830325283324729,-23.0584716796875,-0.88,10.0,6.0,1.5,2.640952364611687,0.05906500434204525,-0.31155804296458456
4,10434,0.10416100174188614,2.0199999198666774e-05,-30.042999267578125,-1.1924099922180176,-30.0440673828125,-1.1937099695205688,1237656567045947805,0.0003921930037904531,1.4506599654851016e-05,0.20698100328445435,0.33101800084114075,-0.08881740272045135,0.03208170086145401,-2.820190047714277e-06,2.1044099796085902e-10,0.10957299917936325,0.0010292299557477236,-3.7813899211869284e-07,0.004053280223160982,38.43769836425781,38.44205856323242,0.06936690211296082,26.603155544712234,6.176155551059627,24.483290104126585,0.19489002032704958,23.559057001947256,0.09231533545204257,23.189552953027746,0.0928857480785801,22.810852777428153,0.28730005330160113,0.0045323205379532655,-21.0328369140625,0.2,0.5,7.0,0.3,5.005672827071874,0.05595854697989328,0.13689509651678122
5,10449,0.24202699959278107,1.7700000171316788e-05,-22.97100067138672,-1.1283700466156006,-22.97134017944336,-1.1282199621200562,1237660024493703827,7.355980051215738e-05,3.4397698982502334e-06,1.1306999921798706,0.9413089752197266,0.010314200073480606,0.04688969999551773,-2.0264499198674457e-06,1.1831999789657655e-11,0.8860620260238647,0.002198650036007166,-1.0498600033770344e-07,0.018603699281811714,40.14580154418945,40.16413497924805,0.1246659979224205,nan,2.7218456008683054,24.4126262621544,0.1670296438136003,23.709374983771685,0.09973835102434159,23.51096653788279,0.10978758129175493,23.143697191063517,0.3664021581876837,nan,nan,nan,nan,nan,nan,nan,nan,-0.166815599977312
6,10550,0.3008129894733429,1.5600000551785342e-05,-10.324000358581543,-1.2046600580215454,-10.324620246887207,-1.2048799991607666,1237663275775754943,2.8688700695056468e-05,3.398829903744627e-06,1.3519400358200073,1.2623800039291382,0.059140101075172424,0.0730075016617775,-3.7339200389396865e-06,1.1551999808123714e-11,1.5936100482940674,0.005330089945346117,-1.3682999622233183e-07,0.04185599833726883,41.063899993896484,41.09396743774414,0.22329500317573547,24.420838999731934,0.7103766767803594,25.576570923879625,0.45280539424666905,25.032475872932206,0.31117865119344806,24.365446236710095,0.22751457161419203,23.966206950951005,0.6840518888092456,5.832053028668475,-20.40313720703125,-0.39,10.0,4.0,0.0,3.5467686637986917,0.7529542981213755,0.217536579672867
7,10559,0.28109198808670044,3.4100001357728615e-05,-5.882999897003174,-1.2266199588775635,-5.883467197418213,-1.2265369892120361,1237663275777720792,4.173599882051349e-05,4.094729774806183e-06,1.1237900257110596,1.0411399602890015,0.015249599702656269,0.06350480020046234,-3.7795900880155386e-06,1.6766799754153183e-11,1.0839699506759644,0.004032860044389963,-1.5947099996083125e-07,0.033258698880672455,40.744300842285156,40.76984786987305,0.17746900022029877,24.99611970152983,1.4572820465071379,23.593706812110344,0.07573951654609877,22.488992304787274,0.034484260592781375,22.060868807517473,0.032406461983591296,21.76917066311266,0.10410437759868268,0.04510108108787828,-24.765380859375,-0.88,3.0,3.0,1.5,5.254718039191749,0.05646796305430689,0.06466065702132795
8,10805,0.04524829983711243,7.499999810534064e-06,-15.071999549865723,-0.013729999773204327,-15.072452545166016,-0.013717000372707844,1237666407898939620,0.0017724999925121665,6.518459849758074e-05,-0.37026599049568176,0.633247971534729,0.03944820165634155,0.034081101417541504,-2.2936699679121375e-05,4.249030016723054e-09,0.40100300312042236,0.0011615200201049447,-1.8013599856203655e-06,0.007256350014358759,36.2755012512207,36.27702713012695,0.1032399982213974,21.448012705671392,0.05275488729013947,20.45953599657555,0.008569919496766228,19.95950027865822,0.0051161249659072375,19.640118559761266,0.00500151316149949,19.405685300655453,0.013144032850019157,55.22803562807947,-22.2930908203125,-0.88,10.0,7.0,1.5,3.4470660740686094,35146249022.72822,-0.12289752357470718
9,1112,0.25760799646377563,2.6699999580159783e-05,-20.982999801635742,-0.37491101026535034,-20.98250961303711,-0.37523001432418823,1237663478724428434,4.3974599975626916e-05,2.548079919506563e-06,-0.41343599557876587,0.6497460007667542,-0.02962549962103367,0.05281290039420128,-1.0583099765426596e-06,6.4927299647798975e-12,0.4221700131893158,0.0027892000507563353,-7.013770186858892e-08,0.008976570330560207,40.49489974975586,40.51583480834961,0.1427139937877655,25.14126984047204,1.9524860921826717,23.770255832166963,0.08363155273740303,22.931146173739258,0.04492394784128271,22.484856161862243,0.03966092328624889,22.276241707412684,0.1310815987232641,2.4368720505736015,-23.76318359375,-0.88,10.0,3.0,1.5,4.419117690108823,0.14366639118973049,0.02944997110987657
