# data from sep on SN13038 as observed by hst with a SB cutoff of 26.5 mag/sqr-arcsec on 2016-06-27
# thresh, npix, tnpix, xmin, xmax, ymin, ymax, x, y, x2, y2, xy, a, b, theta, cxx, cyy, cxy, cflux, flux, cpeak, peak, xcpeak, ycpeak, xpeak, ypeak, flag
3.058137413654869195e-21,1.700000000000000000e+01,1.700000000000000000e+01,4.500000000000000000e+01,4.800000000000000000e+01,8.000000000000000000e+00,1.300000000000000000e+01,4.628324047615330272e+01,1.035783680491478265e+01,8.928420056831498641e-01,1.925058079677986811e+00,-9.538808616146976505e-02,1.390611052513122559e+00,9.402664899826049805e-01,-1.479416489601135254e+00,1.125979781150817871e+00,5.222294330596923828e-01,1.115862950682640076e-01,5.753492878468943859e-20,5.939270535464964747e-20,3.667181249441321937e-21,3.796157609307805495e-21,4.600000000000000000e+01,1.000000000000000000e+01,4.600000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.058137413654869195e-21,7.300000000000000000e+01,7.300000000000000000e+01,1.190000000000000000e+02,1.270000000000000000e+02,4.000000000000000000e+00,1.300000000000000000e+01,1.227377805920956462e+02,8.260849191726560292e+00,4.817198763660307748e+00,5.687738606092914040e+00,-5.246922086729739476e-01,2.436022043228149414e+00,2.137927532196044922e+00,-1.131655335426330566e+00,2.096965312957763672e-01,1.776013225317001343e-01,3.868888691067695618e-02,3.058986800512577577e-19,3.117896794281014248e-19,5.644546002432964292e-21,5.814887855275634804e-21,1.220000000000000000e+02,8.000000000000000000e+00,1.220000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00
3.058137413654869195e-21,4.200000000000000000e+01,4.200000000000000000e+01,3.520000000000000000e+02,3.570000000000000000e+02,1.200000000000000000e+01,1.900000000000000000e+01,3.545787802002901117e+02,1.532471689807449522e+01,2.373100289421730125e+00,3.994029924196407677e+00,2.558215373873018450e-01,2.008344173431396484e+00,1.527639985084533691e+00,1.417921304702758789e+00,4.243195056915283203e-01,2.521144747734069824e-01,-5.435616150498390198e-02,1.649993452977833941e-19,1.697537080400997032e-19,4.855790110375655507e-21,5.033872645073589094e-21,3.540000000000000000e+02,1.500000000000000000e+01,3.540000000000000000e+02,1.500000000000000000e+01,0.000000000000000000e+00
3.058137413654869195e-21,1.230000000000000000e+02,1.160000000000000000e+02,3.860000000000000000e+02,3.970000000000000000e+02,9.000000000000000000e+00,2.100000000000000000e+01,3.915456051048378185e+02,1.499031412766232663e+01,6.501217385377842106e+00,7.339068754461777644e+00,-1.017658749245455851e-01,2.711319208145141602e+00,2.547358274459838867e+00,-1.451643824577331543e+00,1.538507342338562012e-01,1.362866461277008057e-01,4.266687203198671341e-03,1.001162131176765400e-18,1.017043585347477255e-18,1.797636177342342260e-20,1.891287401408836637e-20,3.920000000000000000e+02,1.500000000000000000e+01,3.920000000000000000e+02,1.500000000000000000e+01,0.000000000000000000e+00
3.058137413654869195e-21,3.200000000000000000e+01,3.200000000000000000e+01,5.110000000000000000e+02,5.160000000000000000e+02,1.800000000000000000e+01,2.400000000000000000e+01,5.133516203486248060e+02,2.081494105629396429e+01,2.141297203990292886e+00,2.772385770940404726e+00,2.729930559358200171e-01,1.695313096046447754e+00,1.428144454956054688e+00,1.214184403419494629e+00,4.729438424110412598e-01,3.652858734130859375e-01,-9.314027428627014160e-02,1.124741389577933340e-19,1.149445914053653780e-19,4.018262873920395943e-21,4.155298994101086370e-21,5.130000000000000000e+02,2.000000000000000000e+01,5.130000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00
3.058137413654869195e-21,4.800000000000000000e+01,4.800000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,1.500000000000000000e+01,2.500000000000000000e+01,1.641614442998284629e+00,2.016875593627634444e+01,1.550203737757456235e+00,5.834049823558054015e+00,-1.270415034339738014e-01,2.416156768798828125e+00,1.243559241294860840e+00,-1.541175127029418945e+00,6.462297439575195312e-01,1.717139482498168945e-01,2.814442850649356842e-02,3.619388999314124109e-19,3.982632699113656494e-19,1.412425759335926567e-20,1.525583744015753974e-20,1.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.000000000000000000e+00
3.058137413654869195e-21,1.640000000000000000e+02,1.630000000000000000e+02,1.600000000000000000e+02,1.690000000000000000e+02,5.000000000000000000e+00,2.900000000000000000e+01,1.648248212903236833e+02,1.370606138230338367e+01,5.514879854086370159e+00,2.612119510427351088e+01,4.023279314037345955e+00,5.184482574462890625e+00,2.181103706359863281e+00,1.384655714035034180e+00,2.042817473411560059e-01,4.312931373715400696e-02,-6.292840093374252319e-02,8.814046798501397289e-19,8.959485829703533380e-19,1.095587554291343930e-20,1.142651465426840282e-20,1.640000000000000000e+02,1.100000000000000000e+01,1.640000000000000000e+02,1.100000000000000000e+01,0.000000000000000000e+00
3.058137413654869195e-21,1.060000000000000000e+02,1.060000000000000000e+02,2.560000000000000000e+02,2.700000000000000000e+02,2.100000000000000000e+01,3.100000000000000000e+01,2.642389771353830383e+02,2.639023315223170840e+01,1.474944934157015553e+01,5.353197864222881464e+00,2.853189259050502358e+00,3.943090915679931641e+00,2.134170055389404297e+00,2.728863060474395752e-01,7.559302449226379395e-02,2.082783877849578857e-01,-8.058032393455505371e-02,4.776332142397834682e-19,4.862731674366881269e-19,7.777346797473200261e-21,8.138718904201603388e-21,2.660000000000000000e+02,2.700000000000000000e+01,2.660000000000000000e+02,2.700000000000000000e+01,0.000000000000000000e+00
3.058137413654869195e-21,4.800000000000000000e+01,4.800000000000000000e+01,5.010000000000000000e+02,5.080000000000000000e+02,2.400000000000000000e+01,3.100000000000000000e+01,5.045801874609440461e+02,2.794005254173997699e+01,3.637849472094488945e+00,3.507159918166157908e+00,2.778338730956413372e-01,1.964158773422241211e+00,1.813033342361450195e+00,6.699004173278808594e-01,2.765609323978424072e-01,2.868666052818298340e-01,-4.381778836250305176e-02,1.806245931984540197e-19,1.842496346847852367e-19,4.722546177094994561e-21,4.899415809752158254e-21,5.040000000000000000e+02,2.800000000000000000e+01,5.040000000000000000e+02,2.800000000000000000e+01,0.000000000000000000e+00
3.058137413654869195e-21,1.060000000000000000e+02,1.040000000000000000e+02,7.090000000000000000e+02,7.190000000000000000e+02,2.100000000000000000e+01,3.200000000000000000e+01,7.139698009852453424e+02,2.675079935646271068e+01,5.601308759467258369e+00,6.291835886793464283e+00,2.652916780726144452e-02,2.508556127548217773e+00,2.366493463516235352e+00,1.532452940940856934e+00,1.785332709550857544e-01,1.589393019676208496e-01,-1.505550695583224297e-03,1.026178554442206616e-18,1.047756077708535189e-18,2.113456158595789065e-20,2.232944498342347973e-20,7.140000000000000000e+02,2.700000000000000000e+01,7.140000000000000000e+02,2.700000000000000000e+01,0.000000000000000000e+00
