# data from sep on SN14157 as observed by hst with a SB cutoff of 26 mag/sqr-arcsec on 2016-07-18
# thresh, npix, tnpix, xmin, xmax, ymin, ymax, x, y, x2, y2, xy, a, b, theta, cxx, cyy, cxy, cflux, flux, cpeak, peak, xcpeak, ycpeak, xpeak, ypeak, flag
4.846821178401850560e-21,9.400000000000000000e+01,9.300000000000000000e+01,1.060000000000000000e+02,1.160000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+00,1.109228222630324723e+02,4.219491535641399338e+00,6.013451526952913184e+00,5.192638993780256840e+00,3.504577043894840926e-02,2.452538490295410156e+00,2.278408527374267578e+00,4.259311035275459290e-02,1.663003861904144287e-01,1.925878822803497314e-01,-2.244764240458607674e-03,1.151305958907949975e-18,1.185002091738486679e-18,2.421201758471467273e-20,2.554473641409544562e-20,1.110000000000000000e+02,4.000000000000000000e+00,1.110000000000000000e+02,4.000000000000000000e+00,2.000000000000000000e+00
4.846821178401850560e-21,6.400000000000000000e+01,6.400000000000000000e+01,2.000000000000000000e+02,2.080000000000000000e+02,3.000000000000000000e+00,1.200000000000000000e+01,2.037030723744024101e+02,7.381012410475881858e+00,3.990858224665881693e+00,4.480243261736589488e+00,2.177227561774124354e-01,2.136137485504150391e+00,1.976870775222778320e+00,1.207226037979125977e+00,2.512387633323669434e-01,2.237954884767532349e-01,-2.441849187016487122e-02,5.565001293581924771e-19,5.730920799762990982e-19,1.389571179063741224e-20,1.465729633438013127e-20,2.040000000000000000e+02,7.000000000000000000e+00,2.040000000000000000e+02,7.000000000000000000e+00,0.000000000000000000e+00
4.846821178401850560e-21,1.380000000000000000e+02,1.350000000000000000e+02,3.940000000000000000e+02,4.070000000000000000e+02,1.000000000000000000e+01,2.100000000000000000e+01,4.000780575354727944e+02,1.549382844884783417e+01,9.524197245366309517e+00,7.418498291568667469e+00,-7.481194030356874691e-02,3.086559772491455078e+00,2.723204612731933594e+00,-3.546870127320289612e-02,1.050040423870086670e-01,1.348088532686233521e-01,2.117829164490103722e-03,1.392153035937717969e-18,1.409336162199858582e-18,2.052887635387440895e-20,2.143467305194978600e-20,4.000000000000000000e+02,1.500000000000000000e+01,4.000000000000000000e+02,1.500000000000000000e+01,0.000000000000000000e+00
4.846821178401850560e-21,2.690000000000000000e+02,2.630000000000000000e+02,4.500000000000000000e+01,6.000000000000000000e+01,0.000000000000000000e+00,2.300000000000000000e+01,5.205866814037460699e+01,1.208433124042814732e+01,1.138827397904918826e+01,2.767185058511483930e+01,-7.775192871986831733e+00,5.548698425292968750e+00,2.876121044158935547e+00,-1.189611077308654785e+00,1.086529865860939026e-01,4.471583664417266846e-02,6.105829030275344849e-02,3.519036843266474474e-18,3.562648700292414029e-18,3.444166813169133411e-20,3.582003214436597553e-20,5.200000000000000000e+01,1.400000000000000000e+01,5.200000000000000000e+01,1.400000000000000000e+01,2.000000000000000000e+00
4.846821178401850560e-21,2.340000000000000000e+02,2.290000000000000000e+02,6.750000000000000000e+02,6.910000000000000000e+02,1.700000000000000000e+01,3.300000000000000000e+01,6.827765606585095384e+02,2.499061196403321006e+01,8.927805582310028853e+00,8.880733262058399191e+00,5.110198907117080580e-02,2.993414640426635742e+00,2.974560022354125977e+00,5.695926547050476074e-01,1.120132952928543091e-01,1.126070246100425720e-01,-1.289105741307139397e-03,1.346015176116194606e-17,1.351579620096838823e-17,2.243070836938873602e-19,2.365944639524504521e-19,6.830000000000000000e+02,2.500000000000000000e+01,6.830000000000000000e+02,2.500000000000000000e+01,0.000000000000000000e+00
4.846821178401850560e-21,2.140000000000000000e+02,2.070000000000000000e+02,9.100000000000000000e+01,1.050000000000000000e+02,1.800000000000000000e+01,3.500000000000000000e+01,9.803103513940700964e+01,2.709587734872988563e+01,8.287421244847188007e+00,9.533925158734547267e+00,-1.367605140441199296e-01,3.090105772018432617e+00,2.876211643218994141e+00,-1.462792754173278809e+00,1.206933632493019104e-01,1.049134284257888794e-01,3.462600521743297577e-03,8.182970236464531789e-18,8.228299734032437705e-18,1.347909031978028905e-19,1.420574780839281004e-19,9.800000000000000000e+01,2.700000000000000000e+01,9.800000000000000000e+01,2.700000000000000000e+01,0.000000000000000000e+00
4.846821178401850560e-21,1.090000000000000000e+02,1.030000000000000000e+02,8.850000000000000000e+02,8.960000000000000000e+02,2.500000000000000000e+01,3.600000000000000000e+01,8.905874472985682360e+02,3.056298733217193231e+01,6.035306212165430395e+00,6.464493853675847390e+00,-7.650227983641855189e-02,2.545136928558349609e+00,2.453992128372192383e+00,-1.399570345878601074e+00,1.657165288925170898e-01,1.547143608331680298e-01,3.922253847122192383e-03,1.357347550508171085e-18,1.382616780848323820e-18,2.597154868547573676e-20,2.734869454545142314e-20,8.910000000000000000e+02,3.100000000000000000e+01,8.910000000000000000e+02,3.100000000000000000e+01,0.000000000000000000e+00
4.846821178401850560e-21,7.600000000000000000e+01,7.600000000000000000e+01,1.280000000000000000e+02,1.360000000000000000e+02,2.800000000000000000e+01,3.700000000000000000e+01,1.320522784753902101e+02,3.239768935344472567e+01,4.547703439683342452e+00,5.436214603779493615e+00,-2.038261815404744937e-01,2.341098308563232422e+00,2.122068881988525391e+00,-1.355720758438110352e+00,2.202613502740859985e-01,1.842611730098724365e-01,1.651701889932155609e-02,6.663164206855792930e-19,6.831293319248141416e-19,1.433725175433026862e-20,1.503264730878454039e-20,1.320000000000000000e+02,3.200000000000000000e+01,1.320000000000000000e+02,3.200000000000000000e+01,0.000000000000000000e+00
4.846821178401850560e-21,1.130000000000000000e+02,1.130000000000000000e+02,7.380000000000000000e+02,7.490000000000000000e+02,3.000000000000000000e+01,4.100000000000000000e+01,7.439835900465252507e+02,3.560609521361163843e+01,8.102790086520009538e+00,8.930269904120159197e+00,-8.983062602594458212e-01,3.083105087280273438e+00,2.743633270263671875e+00,-1.001205921173095703e+00,1.248061060905456543e-01,1.132415607571601868e-01,2.510878443717956543e-02,6.606568509344914776e-19,6.661695961268511306e-19,7.001005480849505936e-21,7.091588220272598037e-21,7.450000000000000000e+02,3.500000000000000000e+01,7.450000000000000000e+02,3.500000000000000000e+01,0.000000000000000000e+00
4.846821178401850560e-21,1.770000000000000000e+02,1.740000000000000000e+02,1.336000000000000000e+03,1.350000000000000000e+03,3.900000000000000000e+01,5.200000000000000000e+01,1.343143891771596373e+03,4.547361042487068516e+01,8.790820397278366727e+00,7.995268503561618445e+00,-1.001960201382559035e-01,2.967026472091674805e+00,2.825392484664916992e+00,-1.233786270022392273e-01,1.137712746858596802e-01,1.250918358564376831e-01,2.851543715223670006e-03,4.574493662285148644e-18,4.614274018713742574e-18,7.499375822240309707e-20,7.889463859362660646e-20,1.343000000000000000e+03,4.500000000000000000e+01,1.343000000000000000e+03,4.500000000000000000e+01,0.000000000000000000e+00
