# data from sep on SN15461 as observed by sdss with a SB cutoff of 3 mag/sqr-arcsec on 2016-09-07
# thresh, npix, tnpix, xmin, xmax, ymin, ymax, x, y, x2, y2, xy, a, b, theta, cxx, cyy, cxy, cflux, flux, cpeak, peak, xcpeak, ycpeak, xpeak, ypeak, flag
1.150736713409423828e+01,2.100000000000000000e+01,1.900000000000000000e+01,8.800000000000000000e+02,8.860000000000000000e+02,0.000000000000000000e+00,3.000000000000000000e+00,8.827806778510462209e+02,8.982387044352503347e-01,1.842899755731429501e+00,7.558607276175924872e-01,8.698432966457092519e-02,1.360079526901245117e+00,8.654156923294067383e-01,7.934665679931640625e-02,5.455865859985351562e-01,1.330220460891723633e+00,-1.255720257759094238e-01,8.400316772460937500e+02,9.985708007812500000e+02,8.619998168945312500e+01,1.487822723388671875e+02,8.830000000000000000e+02,0.000000000000000000e+00,8.830000000000000000e+02,0.000000000000000000e+00,2.000000000000000000e+00
1.150736713409423828e+01,5.000000000000000000e+00,5.000000000000000000e+00,1.353000000000000000e+03,1.355000000000000000e+03,2.000000000000000000e+00,3.000000000000000000e+00,1.354194043073375497e+03,2.382605070216869070e+00,5.321962063181160385e-01,2.362184304612137686e-01,1.046619266479079657e-01,7.519749402999877930e-01,4.504978358745574951e-01,3.077803552150726318e-01,2.058361291885375977e+00,4.637453556060791016e+00,-1.824007153511047363e+00,6.729530334472656250e+01,8.604349517822265625e+01,1.523900794982910156e+01,2.046159553527832031e+01,1.354000000000000000e+03,2.000000000000000000e+00,1.355000000000000000e+03,2.000000000000000000e+00,0.000000000000000000e+00
1.150736713409423828e+01,2.000000000000000000e+01,1.800000000000000000e+01,2.230000000000000000e+02,2.280000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00,2.254732530848017404e+02,3.604009912211580957e+00,1.986501536847690375e+00,1.054240417396954399e+00,2.044121241997651772e-01,1.424553394317626953e+00,1.005678653717041016e+00,2.066372185945510864e-01,5.136457681655883789e-01,9.678609371185302734e-01,-1.991868615150451660e-01,3.004987487792968750e+02,3.269405517578125000e+02,1.988546371459960938e+01,2.522997093200683594e+01,2.250000000000000000e+02,4.000000000000000000e+00,2.240000000000000000e+02,4.000000000000000000e+00,0.000000000000000000e+00
1.150736713409423828e+01,2.100000000000000000e+01,1.800000000000000000e+01,1.963000000000000000e+03,1.967000000000000000e+03,1.000000000000000000e+00,5.000000000000000000e+00,1.964766586275710551e+03,3.166861174875882146e+00,1.469749473698530373e+00,1.374193922595143391e+00,4.366201119457104873e-01,1.364257335662841797e+00,9.913350939750671387e-01,7.309017777442932129e-01,7.513018250465393066e-01,8.035441637039184570e-01,-4.774194955825805664e-01,4.377825927734375000e+02,4.803551330566406250e+02,3.434806442260742188e+01,4.563180541992187500e+01,1.964000000000000000e+03,3.000000000000000000e+00,1.964000000000000000e+03,3.000000000000000000e+00,0.000000000000000000e+00
1.150736713409423828e+01,2.500000000000000000e+01,2.300000000000000000e+01,6.600000000000000000e+02,6.650000000000000000e+02,2.000000000000000000e+00,6.000000000000000000e+00,6.627872961793511877e+02,3.961039988268589163e+00,1.690419505948353773e+00,1.359531091407089942e+00,2.948836679031412444e-01,1.364954113960266113e+00,1.089426875114440918e+00,5.297548770904541016e-01,6.148326396942138672e-01,7.644731402397155762e-01,-2.667156159877777100e-01,7.017938842773437500e+02,7.681154174804687500e+02,5.456428909301757812e+01,7.317996215820312500e+01,6.630000000000000000e+02,4.000000000000000000e+00,6.630000000000000000e+02,4.000000000000000000e+00,0.000000000000000000e+00
1.150736713409423828e+01,6.000000000000000000e+00,6.000000000000000000e+00,1.036000000000000000e+03,1.037000000000000000e+03,5.000000000000000000e+00,7.000000000000000000e+00,1.036498542854847756e+03,6.075150146343774260e+00,2.499978767280052472e-01,6.284682326520427686e-01,2.843932754599820534e-03,7.927733659744262695e-01,4.999765157699584961e-01,1.563282608985900879e+00,4.000239849090576172e+00,1.591252207756042480e+00,-3.620362281799316406e-02,8.471933746337890625e+01,1.045074081420898438e+02,1.554552268981933594e+01,2.216721916198730469e+01,1.036000000000000000e+03,6.000000000000000000e+00,1.036000000000000000e+03,7.000000000000000000e+00,0.000000000000000000e+00
1.150736713409423828e+01,4.000000000000000000e+01,3.800000000000000000e+01,3.090000000000000000e+02,3.150000000000000000e+02,3.000000000000000000e+00,9.000000000000000000e+00,3.120636414866654036e+02,6.126173343403779725e+00,2.040798308860809485e+00,1.976254873862057337e+00,2.392521692290774382e-01,1.499981760978698730e+00,1.329326033592224121e+00,7.183598875999450684e-01,4.970589876174926758e-01,5.132926702499389648e-01,-1.203513219952583313e-01,1.748192749023437500e+03,1.818087768554687500e+03,1.231156616210937500e+02,1.681161346435546875e+02,3.120000000000000000e+02,6.000000000000000000e+00,3.120000000000000000e+02,6.000000000000000000e+00,0.000000000000000000e+00
1.150736713409423828e+01,4.100000000000000000e+01,3.700000000000000000e+01,7.480000000000000000e+02,7.550000000000000000e+02,3.000000000000000000e+00,9.000000000000000000e+00,7.513450080141622038e+02,5.960128470865596384e+00,2.708754912587590269e+00,2.537631622076775173e+00,-5.745138222448691323e-01,1.789984226226806641e+00,1.429105639457702637e+00,-7.114771008491516113e-01,3.877943456172943115e-01,4.139449894428253174e-01,1.755914539098739624e-01,9.874458618164062500e+02,1.040129394531250000e+03,4.855458068847656250e+01,5.712388610839843750e+01,7.510000000000000000e+02,6.000000000000000000e+00,7.510000000000000000e+02,6.000000000000000000e+00,0.000000000000000000e+00
1.150736713409423828e+01,8.000000000000000000e+00,7.000000000000000000e+00,6.560000000000000000e+02,6.580000000000000000e+02,8.000000000000000000e+00,1.000000000000000000e+01,6.568489409177016114e+02,8.846475361165259343e+00,5.688343928005241690e-01,5.713606339585363125e-01,-9.125697389623699252e-02,8.132424354553222656e-01,6.919767260551452637e-01,-7.923184037208557129e-01,1.804210782051086426e+00,1.796233654022216797e+00,5.763323903083801270e-01,1.182215728759765625e+02,1.384382934570312500e+02,1.762603187561035156e+01,2.588367462158203125e+01,6.570000000000000000e+02,9.000000000000000000e+00,6.570000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00
1.150736713409423828e+01,1.100000000000000000e+01,8.000000000000000000e+00,1.226000000000000000e+03,1.229000000000000000e+03,9.000000000000000000e+00,1.100000000000000000e+01,1.227172540882758540e+03,9.839458295200413929e+00,1.107658056871866581e+00,5.960481085486331043e-01,-1.293253626845183302e-01,1.067000865936279297e+00,7.518079876899719238e-01,-2.340437918901443481e-01,9.262705445289611816e-01,1.721322536468505859e+00,4.019483625888824463e-01,1.660270080566406250e+02,1.714432067871093750e+02,1.964416885375976562e+01,3.274650573730468750e+01,1.227000000000000000e+03,1.000000000000000000e+01,1.227000000000000000e+03,1.000000000000000000e+01,1.000000000000000000e+00
