# data from sep on SN17208 as observed by hst with a SB cutoff of 26 mag/sqr-arcsec and a block size of 8 on 2016-10-11
# thresh, npix, tnpix, xmin, xmax, ymin, ymax, x, y, x2, y2, xy, a, b, theta, cxx, cyy, cxy, cflux, flux, cpeak, peak, xcpeak, ycpeak, xpeak, ypeak, flag
2.423410427642211891e-19,6.000000000000000000e+00,3.000000000000000000e+00,1.900000000000000000e+01,2.100000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,2.005136509111324372e+01,3.986293925669933680e-01,5.017248266712317495e-01,2.397239999486632522e-01,2.144587124652713728e-02,7.095552682876586914e-01,4.878321290016174316e-01,8.113450556993484497e-02,2.000775337219238281e+00,4.187476634979248047e+00,-3.579814136028289795e-01,3.994333996058831623e-18,5.285740362495500448e-18,1.203284437637133697e-18,4.474114467771226182e-18,2.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00
2.423410427642211891e-19,7.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.822437581510233162e+00,4.687126756545748063e-01,5.242516167083177692e-01,3.764688725157768756e-01,-1.085195106638869311e-01,7.626583576202392578e-01,5.648652315139770508e-01,-4.865008592605590820e-01,2.028520345687866211e+00,2.824815273284912109e+00,1.169467329978942871e+00,5.711206087236131828e-18,8.541983993105409413e-18,1.636239662438973327e-18,6.092665803388942135e-18,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
2.423410427642211891e-19,9.000000000000000000e+00,3.000000000000000000e+00,1.100000000000000000e+01,1.300000000000000000e+01,2.000000000000000000e+00,4.000000000000000000e+00,1.206282963623175775e+01,2.996474196923770261e+00,5.163754665686088874e-01,4.988596701745015016e-01,-2.634906909327905389e-02,7.316994071006774902e-01,6.927129030227661133e-01,-6.249520778656005859e-01,1.941808819770812988e+00,2.009989023208618164e+00,2.051272541284561157e-01,6.467284322285632626e-18,6.965644097736580740e-18,1.550846292287520930e-18,5.504173533262072190e-18,1.200000000000000000e+01,3.000000000000000000e+00,1.200000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00
2.423410427642211891e-19,1.800000000000000000e+01,6.000000000000000000e+00,3.600000000000000000e+01,3.900000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,3.729792557225244565e+01,2.743363283610039449e+00,6.368647097970359106e-01,2.330830021207185965e+00,-4.232779840622424850e-01,1.559072613716125488e+00,7.327942252159118652e-01,-1.339073300361633301e+00,1.785722017288208008e+00,4.879220426082611084e-01,6.485731005668640137e-01,1.247403997443542986e-17,1.316946974056284895e-17,1.785925335508380093e-18,6.816546860275428884e-18,3.700000000000000000e+01,4.000000000000000000e+00,3.700000000000000000e+01,4.000000000000000000e+00,2.000000000000000000e+00
2.423410427642211891e-19,9.000000000000000000e+00,2.000000000000000000e+00,1.350000000000000000e+02,1.370000000000000000e+02,3.000000000000000000e+00,5.000000000000000000e+00,1.359613918788606384e+02,4.004213884794535439e+00,5.097592584051773290e-01,4.971929844173534896e-01,1.118198513565538121e-04,7.139749526977539062e-01,7.051184177398681641e-01,8.897470310330390930e-03,1.961710453033447266e+00,2.011291503906250000e+00,-8.823864045552909374e-04,1.609390227615629915e-17,1.639245822900628854e-17,3.956263835546691078e-18,1.525352316974937537e-17,1.360000000000000000e+02,4.000000000000000000e+00,1.360000000000000000e+02,4.000000000000000000e+00,0.000000000000000000e+00
2.423410427642211891e-19,3.200000000000000000e+01,1.300000000000000000e+01,2.400000000000000000e+01,3.200000000000000000e+01,0.000000000000000000e+00,6.000000000000000000e+00,2.961162780809678452e+01,2.409380129055782582e+00,3.762114094070962977e+00,2.957659264550163591e+00,-6.634121735867619662e-01,2.033644676208496094e+00,1.607502102851867676e+00,-5.128783583641052246e-01,2.767546474933624268e-01,3.520292639732360840e-01,1.241538599133491516e-01,2.025594755500056341e-17,2.363544523278393627e-17,2.055495225333286282e-18,7.719019520134564520e-18,3.100000000000000000e+01,1.000000000000000000e+00,3.100000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00
2.423410427642211891e-19,1.700000000000000000e+01,6.000000000000000000e+00,6.600000000000000000e+01,7.000000000000000000e+01,2.000000000000000000e+00,7.000000000000000000e+00,6.724316634882966071e+01,5.071898244508221687e+00,9.076077872531636004e-01,1.307410133148088960e+00,-5.316533544327293193e-01,1.294411778450012207e+00,7.345176935195922852e-01,-9.652212858200073242e-01,1.446313619613647461e+00,1.004034996032714844e+00,1.176275849342346191e+00,1.995696312259327156e-17,2.091328317237807792e-17,3.360713233252906148e-18,9.986556498436378437e-18,6.700000000000000000e+01,5.000000000000000000e+00,6.700000000000000000e+01,5.000000000000000000e+00,1.000000000000000000e+00
2.423410427642211891e-19,3.600000000000000000e+01,1.500000000000000000e+01,7.000000000000000000e+01,7.700000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,7.359108146662488537e+01,3.770496278034233484e+00,2.867523000083131990e+00,2.784584661748588985e+00,-1.795279921543038171e-01,1.735024213790893555e+00,1.625361084938049316e+00,-6.718939542770385742e-01,3.501463830471038818e-01,3.605754077434539795e-01,4.514933750033378601e-02,2.018518556231910211e-17,2.242030036933128755e-17,1.485650604743082086e-18,4.786123686103778009e-18,7.200000000000000000e+01,3.000000000000000000e+00,7.200000000000000000e+01,3.000000000000000000e+00,1.000000000000000000e+00
2.423410427642211891e-19,1.000000000000000000e+01,4.000000000000000000e+00,1.730000000000000000e+02,1.760000000000000000e+02,6.000000000000000000e+00,8.000000000000000000e+00,1.740661070327527113e+02,6.920976119131556636e+00,6.333788994041558151e-01,5.239028059344570387e-01,-5.981162000710948945e-02,8.122309446334838867e-01,7.053811550140380859e-01,-4.148303568363189697e-01,1.596040606498718262e+00,1.929553389549255371e+00,3.644255101680755615e-01,7.941718874910378502e-18,8.997240214016831807e-18,1.823791182409220041e-18,7.022502838682250756e-18,1.740000000000000000e+02,7.000000000000000000e+00,1.740000000000000000e+02,7.000000000000000000e+00,0.000000000000000000e+00
2.423410427642211891e-19,1.700000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000000e+00,1.742731883928774650e+00,5.806470417995370781e+00,1.416044795407207069e+00,2.207709231937102778e+00,1.045057069679844020e+00,1.711545109748840332e+00,8.332871794700622559e-01,9.664323329925537109e-01,1.085364937782287598e+00,6.961629390716552734e-01,-1.027552247047424316e+00,6.889649774090415258e-18,8.317636894549389800e-18,9.638521496475610872e-19,3.946113915840359152e-18,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.423410427642211891e-19,1.600000000000000000e+01,7.000000000000000000e+00,4.200000000000000000e+01,4.600000000000000000e+01,2.000000000000000000e+00,6.000000000000000000e+00,4.489094049378797990e+01,4.021505757758069066e+00,7.197283057443364385e-01,6.397154288085697971e-01,-1.133733403493186742e-01,8.943974375724792480e-01,7.479953169822692871e-01,-6.157819628715515137e-01,1.429315209388732910e+00,1.608087778091430664e+00,5.066197514533996582e-01,4.551161296028804137e-17,4.696301715029808585e-17,1.000728316304511965e-17,3.722962589577846195e-17,4.500000000000000000e+01,4.000000000000000000e+00,4.500000000000000000e+01,4.000000000000000000e+00,1.000000000000000000e+00
2.423410427642211891e-19,1.400000000000000000e+01,5.000000000000000000e+00,4.000000000000000000e+01,4.400000000000000000e+01,6.000000000000000000e+00,9.000000000000000000e+00,4.222180820280274105e+01,7.975397146427534167e+00,7.713496296124038309e-01,5.662188803228218603e-01,4.595902425423048498e-02,8.838415741920471191e-01,7.459172606468200684e-01,2.106342762708663940e-01,1.302729249000549316e+00,1.774684190750122070e+00,-2.114806324243545532e-01,2.583856303934134550e-17,2.638939088104653215e-17,5.187632192353342324e-18,1.664517679539226445e-17,4.200000000000000000e+01,8.000000000000000000e+00,4.200000000000000000e+01,8.000000000000000000e+00,1.000000000000000000e+00
2.423410427642211891e-19,7.000000000000000000e+01,3.300000000000000000e+01,4.600000000000000000e+01,5.900000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00,5.258183028961361316e+01,4.468109252154799371e+00,9.735825886515812044e+00,5.619893207338900964e+00,-2.574787662938000210e+00,3.312707662582397461e+00,2.093247890472412109e+00,-4.482484459877014160e-01,1.168747022747993469e-01,2.024721354246139526e-01,1.070936843752861023e-01,5.328192264148456892e-17,5.836783602032195916e-17,2.738288153242732764e-18,7.110881296869253892e-18,5.400000000000000000e+01,2.000000000000000000e+00,5.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00
2.423410427642211891e-19,1.400000000000000000e+01,5.000000000000000000e+00,1.600000000000000000e+02,1.640000000000000000e+02,5.000000000000000000e+00,9.000000000000000000e+00,1.627119422188041256e+02,7.410559596965425655e+00,1.192315062927200131e+00,1.368460398104957676e+00,3.122622121575711063e-01,1.266819834709167480e+00,9.777233004570007324e-01,9.228511452674865723e-01,8.920117020606994629e-01,7.771938443183898926e-01,-4.070875048637390137e-01,5.648296933699942690e-18,7.035436634740129897e-18,9.319345585315899614e-19,3.634974891512213110e-18,1.630000000000000000e+02,8.000000000000000000e+00,1.630000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00
2.423410427642211891e-19,9.000000000000000000e+00,2.000000000000000000e+00,7.600000000000000000e+01,7.800000000000000000e+01,8.000000000000000000e+00,1.000000000000000000e+01,7.698205232856955149e+01,9.000593375237754046e+00,4.973200717073605892e-01,4.984841812636005010e-01,-4.087269876628552012e-03,7.085412144660949707e-01,7.026902437210083008e-01,-8.561259508132934570e-01,2.010912895202636719e+00,2.006217002868652344e+00,3.297654911875724792e-02,1.537959376690858232e-17,1.553449988022138781e-17,3.863208498176313123e-18,1.528848974860321695e-17,7.700000000000000000e+01,9.000000000000000000e+00,7.700000000000000000e+01,9.000000000000000000e+00,0.000000000000000000e+00
2.423410427642211891e-19,2.900000000000000000e+01,8.000000000000000000e+00,1.400000000000000000e+02,1.460000000000000000e+02,4.000000000000000000e+00,1.000000000000000000e+01,1.417657309694176888e+02,5.841442829029988459e+00,2.431072266778614654e+00,2.234623722452879768e+00,-7.000203476776105660e-01,1.743481040000915527e+00,1.275135278701782227e+00,-7.156950831413269043e-01,4.521238803863525391e-01,4.918706417083740234e-01,2.832655012607574463e-01,2.000003276272768261e-17,2.190652029290112590e-17,2.066500656588151177e-18,6.480541545963020001e-18,1.410000000000000000e+02,5.000000000000000000e+00,1.410000000000000000e+02,5.000000000000000000e+00,0.000000000000000000e+00
