# data from sep on SN18241 with a SB cutoff of 25 mag/sqr-arcsec on 2016-05-18
# thresh, npix, tnpix, xmin, xmax, ymin, ymax, x, y, x2, y2, xy, a, b, theta, cxx, cyy, cxy, cflux, flux, cpeak, peak, xcpeak, ycpeak, xpeak, ypeak, flag
1.217466397540567072e-20,1.150000000000000000e+02,1.120000000000000000e+02,1.540000000000000000e+02,1.650000000000000000e+02,1.000000000000000000e+00,1.200000000000000000e+01,1.590777901277784281e+02,6.148760642270229226e+00,6.523094817119957867e+00,6.587979439899367406e+00,1.531556765882413629e-01,2.590770483016967773e+00,2.529621124267578125e+00,8.897682428359985352e-01,1.533851921558380127e-01,1.518745124340057373e-01,-7.131719961762428284e-03,3.896845384195475717e-18,3.965373989223043848e-18,7.298453651451179285e-20,7.681655409974026268e-20,1.590000000000000000e+02,6.000000000000000000e+00,1.590000000000000000e+02,6.000000000000000000e+00,0.000000000000000000e+00
1.217466397540567072e-20,8.100000000000000000e+01,8.100000000000000000e+01,2.120000000000000000e+02,2.210000000000000000e+02,3.000000000000000000e+00,1.200000000000000000e+01,2.165852018307660956e+02,7.734402935187063122e+00,5.044546765277843292e+00,5.116552521648777940e+00,7.709170887403615779e-02,2.272803068161010742e+00,2.235053777694702148e+00,1.003854155540466309e+00,1.982795149087905884e-01,1.954891085624694824e-01,-5.975002422928810120e-03,2.027003195929050382e-18,2.078431702948462910e-18,4.417669536851682889e-20,4.651170668430611796e-20,2.170000000000000000e+02,8.000000000000000000e+00,2.170000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00
1.217466397540567072e-20,5.200000000000000000e+01,5.200000000000000000e+01,2.240000000000000000e+02,2.310000000000000000e+02,2.700000000000000000e+01,3.400000000000000000e+01,2.274557230747716119e+02,3.051845247517557880e+01,3.623981101722925757e+00,3.683777952925687771e+00,2.602604143994824426e-02,1.921852946281433105e+00,1.901115536689758301e+00,1.212663650512695312e+00,2.759536206722259521e-01,2.714742124080657959e-01,-3.899247385561466217e-03,9.023080509172375839e-19,9.282732503452771226e-19,2.367077166105363256e-20,2.472308272512746464e-20,2.270000000000000000e+02,3.100000000000000000e+01,2.270000000000000000e+02,3.100000000000000000e+01,0.000000000000000000e+00
1.217466397540567072e-20,8.400000000000000000e+01,8.300000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,2.300000000000000000e+01,3.500000000000000000e+01,2.492558642011549086e+00,2.873489900423453136e+01,3.269915826997737973e+00,7.458247434760373551e+00,-1.234156028302422214e-01,2.731644392013549805e+00,1.807285904884338379e+00,-1.541363835334777832e+00,3.060093820095062256e-01,1.341635435819625854e-01,1.012740191072225571e-02,3.200942470757676300e-18,3.393834578955295067e-18,8.292238132895190089e-20,8.731493656380722282e-20,1.000000000000000000e+00,2.900000000000000000e+01,1.000000000000000000e+00,2.900000000000000000e+01,2.000000000000000000e+00
1.217466397540567072e-20,9.100000000000000000e+01,8.900000000000000000e+01,3.700000000000000000e+01,4.600000000000000000e+01,2.800000000000000000e+01,3.800000000000000000e+01,4.135470243087092257e+01,3.307580131285057945e+01,5.365223063810827142e+00,6.226751164657088111e+00,-2.871523626537992868e-01,2.512705326080322266e+00,2.297452211380004883e+00,-1.276814103126525879e+00,1.868467032909393311e-01,1.609947532415390015e-01,1.723321527242660522e-02,2.179855006190580430e-18,2.226545836251595492e-18,4.188337912547904087e-20,4.384348052215147351e-20,4.100000000000000000e+01,3.300000000000000000e+01,4.100000000000000000e+01,3.300000000000000000e+01,0.000000000000000000e+00
1.217466397540567072e-20,1.280000000000000000e+02,1.250000000000000000e+02,1.690000000000000000e+02,1.800000000000000000e+02,2.700000000000000000e+01,3.900000000000000000e+01,1.743354070354814951e+02,3.318628639055906149e+01,6.771491948423562945e+00,7.458873755129673100e+00,-4.148949361068616781e-01,2.766575813293457031e+00,2.564453840255737305e+00,-1.131302237510681152e+00,1.481829732656478882e-01,1.345269829034805298e-01,1.648516021668910980e-02,4.650557055512462304e-18,4.721953495723751781e-18,8.150368256789249601e-20,8.561007854724421935e-20,1.740000000000000000e+02,3.300000000000000000e+01,1.740000000000000000e+02,3.300000000000000000e+01,0.000000000000000000e+00
1.217466397540567072e-20,1.230000000000000000e+02,1.180000000000000000e+02,1.701000000000000000e+03,1.714000000000000000e+03,5.100000000000000000e+01,6.200000000000000000e+01,1.707414953130278491e+03,5.647469733068202657e+01,8.107716443554309649e+00,6.342272354976785209e+00,3.276638411513914662e-01,2.857720851898193359e+00,2.506675243377685547e+00,1.777162253856658936e-01,1.235973536968231201e-01,1.580020934343338013e-01,-1.277093775570392609e-02,3.826772019373964807e-18,3.881976812684835045e-18,6.518894085256770836e-20,6.837849113343536294e-20,1.707000000000000000e+03,5.600000000000000000e+01,1.707000000000000000e+03,5.600000000000000000e+01,1.000000000000000000e+00
1.217466397540567072e-20,1.080000000000000000e+02,1.070000000000000000e+02,1.714000000000000000e+03,1.725000000000000000e+03,5.100000000000000000e+01,6.200000000000000000e+01,1.720073552993778549e+03,5.655359841151430089e+01,7.026890494837942924e+00,5.922095827522106504e+00,-1.730280444754370706e-01,2.655815362930297852e+00,2.428092002868652344e+00,-1.517754048109054565e-01,1.424129158258438110e-01,1.689807027578353882e-01,8.321860805153846741e-03,3.314718475677354459e-18,3.368914729026369417e-18,6.186041776644260956e-20,6.508395353825882955e-20,1.720000000000000000e+03,5.700000000000000000e+01,1.720000000000000000e+03,5.700000000000000000e+01,1.000000000000000000e+00
1.217466397540567072e-20,8.500000000000000000e+01,8.400000000000000000e+01,1.859000000000000000e+03,1.869000000000000000e+03,5.600000000000000000e+01,6.500000000000000000e+01,1.864073339169571909e+03,6.065719161605193932e+01,5.274842534116430670e+00,5.264483837807194533e+00,2.027269187555980068e-01,2.339328050613403320e+00,2.250970840454101562e+00,7.726267576217651367e-01,1.898601055145263672e-01,1.902336925268173218e-01,-1.462242286652326584e-02,2.179178165654358915e-18,2.230993379610139984e-18,4.686106447731332853e-20,4.938698649354044216e-20,1.864000000000000000e+03,6.100000000000000000e+01,1.864000000000000000e+03,6.100000000000000000e+01,0.000000000000000000e+00
1.217466397540567072e-20,1.420000000000000000e+02,1.380000000000000000e+02,1.795000000000000000e+03,1.807000000000000000e+03,5.300000000000000000e+01,6.600000000000000000e+01,1.800987848376141983e+03,5.922786487295385882e+01,7.271155326909074290e+00,7.519572220266084628e+00,-4.471522749835799004e-02,2.743606328964233398e+00,2.695060491561889648e+00,-1.398017883300781250e+00,1.375347524881362915e-01,1.329911500215530396e-01,1.635704189538955688e-03,6.393649531336774655e-18,6.475953588695494633e-18,1.127753619477333475e-19,1.187512765843344114e-19,1.801000000000000000e+03,5.900000000000000000e+01,1.801000000000000000e+03,5.900000000000000000e+01,0.000000000000000000e+00
