# thresh, npix, tnpix, xmin, xmax, ymin, ymax, x, y, x2, y2, xy, a, b, theta, cxx, cyy, cxy, cflux, flux, cpeak, peak, xcpeak, ycpeak, xpeak, ypeak, flag
7.3081989288,14,10,2044,2047,469,473,2045.3944489481,470.8577400593,0.8627311022,1.4049410224,-0.3179951547,1.2456766367,0.8461453319,-1.1383827925,1.2646127939,0.7765598297,0.5724663734,151.9412841797,178.3383636475,15.1709108353,23.3818225861,2045,471,2047,469,2
7.3081989288,16,13,2042,2046,1284,1287,2043.8958771616,1285.3252959246,1.501255643,0.8488318823,0.0070437584,1.2252883911,0.92127949,0.0107946163,0.6661350131,1.1781355143,-0.0110554146,155.4595184326,176.5765075684,13.8925638199,22.4342250824,2045,1285,2045,1285,0
7.3081989288,336,314,2034,2047,256,291,2043.6930538483,272.4122254055,6.2405907415,25.0310214656,-6.4287488606,5.1980724335,2.0619542599,-1.2707551718,0.2178892791,0.0543229058,0.1119215563,40593.5859375,41999.33984375,845.9351196289,959.9242553711,2045,271,2045,271,2
7.3081989288,29,26,2034,2039,1389,1394,2036.8236921777,1391.3161498949,1.6192471204,2.0710602793,0.2655698361,1.4811515808,1.2233141661,1.1378333569,0.6308378577,0.4932171106,-0.1617833227,416.2699279785,447.8104553223,26.5099830627,30.9110946655,2037,1391,2037,1392,0
7.3081989288,13,12,2026,2029,437,441,2027.6036882645,439.0916089808,0.9244718008,0.9896483163,-0.253358597,1.1011384726,0.8376241326,-0.8493595123,1.1633185148,1.0867043734,0.595639348,129.5969848633,149.3947753906,13.6927137375,20.1882476807,2028,439,2028,439,0
7.3081989288,13,13,2017,2020,230,233,2018.3826255677,231.3201339621,0.8711481912,0.910242259,0.1359241501,1.0139120817,0.8679704666,0.8568127155,1.1752939224,1.1248161793,-0.3510072827,148.9405822754,174.6091156006,16.4064464569,22.1426429749,2018,231,2018,231,0
7.3081989288,13,12,2015,2018,551,554,2016.194938636,552.5645306001,1.0233579853,0.9393794757,0.1263566593,1.0557080507,0.9209875464,0.6249846816,0.9936785698,1.0825113058,-0.267320931,124.732383728,138.5271911621,12.1688871384,17.2179737091,2016,552,2016,553,0
7.3081989288,37,37,2012,2017,292,298,2014.5472411408,295.2143953658,1.7650338672,2.2633133266,0.0509944539,1.5061469078,1.3266004324,1.4698495865,0.5669304132,0.4421179295,-0.0255468879,840.0137939453,883.0843505859,51.9183120728,62.8087730408,2015,295,2014,296,0
7.3081989288,12,11,2012,2014,1269,1272,2012.9798019948,1270.4772874624,0.609280986,1.0967766198,0.0088244775,1.0473473072,0.780462265,1.5527025461,1.6414701939,0.9118689299,-0.0264139771,126.8709945679,150.173324585,14.1030673981,19.6797542572,2013,1270,2013,1271,0
7.3081989288,162,152,2003,2016,476,489,2009.4562918081,482.7738988273,3.4534971429,4.0779880883,0.0155032276,2.0194981098,1.8582552671,1.5459913015,0.2895664871,0.2452231497,-0.0022016815,24907.810546875,24965.9296875,1276.5651855469,1586.8841552734,2009,483,2009,483,0
