# Definitions of the elliptial shape of galaxies found from using sep & sigma=1.5
# SN number, x, y, a, b, theta
# int, pixel, pixel, pixel, pixel, radians
1.278100000000000000e+04,1.067742323624706614e+03,9.994764696133365760e+02,4.344405746459960938e+01,3.815829086303710938e+01,2.677328884601593018e-01
1.286000000000000000e+04,1.037985668262597528e+03,1.164125788586960880e+03,4.233506393432617188e+01,1.619042205810546875e+01,-8.957349061965942383e-01
1.287400000000000000e+04,9.577449682768773300e+02,1.112468299397107103e+03,3.524102401733398438e+01,2.285056495666503906e+01,-1.033771872520446777e+00
1.292800000000000000e+04,9.930068645600407535e+02,1.116263924382155892e+03,3.761443710327148438e+01,2.246035385131835938e+01,5.726896524429321289e-01
1.293000000000000000e+04,1.099443785527321779e+03,1.164260809039144306e+03,4.162157058715820312e+01,3.891535186767578125e+01,7.150403857231140137e-01
1.303800000000000000e+04,9.380610050842130931e+02,9.745989960543123516e+02,5.442524433135986328e+00,1.173458337783813477e+00,1.532210111618041992e+00
1.313500000000000000e+04,1.095281288956406115e+03,9.488181689011911430e+02,4.662404632568359375e+01,1.816060638427734375e+01,1.350181221961975098e+00
1.335400000000000000e+04,1.017798670948619360e+03,1.134095049945317669e+03,4.328071975708007812e+01,1.453282833099365234e+01,5.187326073646545410e-01
1.341100000000000000e+04,1.057022479406233515e+03,1.003507651356053998e+03,1.208789253234863281e+01,7.771951675415039062e+00,-1.042204260826110840e+00
1.350600000000000000e+04,1.073480274319630553e+03,1.053320596838720803e+03,1.287344360351562500e+01,5.453978061676025391e+00,-1.771145462989807129e-01
1.361500000000000000e+04,1.073433190929810735e+03,1.034934004897734894e+03,8.762423515319824219e+00,5.005573749542236328e+00,4.517781138420104980e-01
1.368900000000000000e+04,9.474855330999602074e+02,1.096177999527142447e+03,1.802127265930175781e+01,9.101245880126953125e+00,1.568125963211059570e+00
1.389400000000000000e+04,1.026033785485174803e+03,1.054375319366496569e+03,9.345540046691894531e+00,4.180018901824951172e+00,-1.474478721618652344e+00
1.389600000000000000e+04,1.036457887542138224e+03,1.051978411862398843e+03,6.993205070495605469e+00,5.216960430145263672e+00,-8.418317139148712158e-02
1.411300000000000000e+04,9.703835018112766875e+02,9.568241146422437851e+02,1.197314071655273438e+01,8.874395370483398438e+00,1.398418784141540527e+00
1.415700000000000000e+04,1.076244979804566810e+03,1.081108687428966959e+03,2.450972366333007812e+01,2.080064201354980469e+01,-6.372423171997070312e-01
1.415000000000000000e+03,1.075621405814414402e+03,1.042297535491116378e+03,3.001184844970703125e+01,1.992368698120117188e+01,1.326077580451965332e+00
1.427900000000000000e+04,1.064224008871763772e+03,1.141072772162745878e+03,5.986212539672851562e+01,3.331089019775390625e+01,-1.410853385925292969e+00
1.428400000000000000e+04,9.097932771144024855e+02,9.990375034075539133e+02,1.505357646942138672e+01,1.267932605743408203e+01,1.499714970588684082e+00
1.443700000000000000e+04,1.072914621966564482e+03,1.110488054934927504e+03,9.035881042480468750e+00,5.776096343994140625e+00,-4.668579995632171631e-01
