# data from sep with a SB cutoff of 25 mag/sqr-arcsec
# note that a, b need to be scaled by 6 to get the correct elliptical parameters (silly Source Extractor!)
# SN, npix, x, y, a, b, theta
12781, 9709, 1067.74123185, 1000.92718459, 23.9021453857, 14.9785346985, -0.564806222916
12860, 5604, 1039.13322421, 1161.38045382, 31.8555698395, 10.494977951, -0.863770067692
12874, 2481, 955.890588626, 1107.36830713, 14.6507463455, 11.3931446075, -1.19988059998
12928, 4710, 993.249861221, 1119.42950222, 14.7711448669, 11.7487602234, 0.439478635788
12930, 5466, 1094.25897335, 1167.77380973, 20.6034793854, 19.0035552979, 0.397217571735
13038, 186, 878.888899165, 1491.86687453, 2.9199655056, 2.84964394569, 1.36592018604
13135, 9550, 1095.56680142, 947.326263822, 30.0427513123, 11.5141992569, 1.35037636757
13354, 7439, 1018.75590914, 1134.72387821, 27.2386779785, 9.49005031586, 0.377564162016
13411, 382, 1010.20178223, 1067.40245997, 10.2507667542, 2.86294531822, -0.292072862387
13506, 975, 1073.23479476, 1053.152977, 11.4073867798, 4.85805940628, -0.153032675385
13615, 443, 1073.63587747, 1035.13173607, 5.44699907303, 4.13758039474, 0.469497293234
13689, 3695, 952.73468633, 1090.84763696, 16.684545517, 14.8603610992, 1.34944999218
13894, 355, 1026.0326722, 1054.11172054, 5.10865068436, 3.58779549599, -1.5146073103
13896, 256, 1036.30428046, 1052.79259701, 4.91993379593, 3.68916606903, -0.0694699436426
14113, 2329, 970.559485695, 956.679190661, 9.96520900726, 8.30750751495, 1.44010710716
14157, 3948, 1077.81265643, 1081.00850871, 17.1568222046, 12.1713037491, -1.40760362148
1415, 3993, 1074.79782903, 1043.82315467, 15.7549676895, 10.514377594, 1.34762835503
14279, 29008, 1064.46960111, 1143.74530168, 48.7900123596, 24.4775161743, -1.40816473961
14284, 1610, 1063.26156578, 1055.5503468, 11.9866676331, 4.33750677109, -1.27662110329
14437, 737, 1072.7153455, 1110.65857329, 6.95382356644, 5.02080917358, -0.478533893824
14871, 647, 1026.3462949, 1069.63775902, 7.75007200241, 4.22915554047, 1.36821508408
14984, 2940, 1037.73181492, 1084.525599, 15.0091915131, 14.3689689636, -0.349906891584
15171, 91, 894.111721058, 1093.0572011, 2.38491272926, 2.36455225945, -1.39337527752
15222, 5730, 1045.3992151, 1141.60401638, 26.7966346741, 10.8241691589, -1.44456040859
15229, 233, 1027.98974279, 1054.94982059, 4.2452917099, 3.36004304886, -0.22161847353
15345, 770, 1063.01032599, 1032.89619097, 8.2633934021, 4.36956167221, 0.0808489620686
15461, 2458, 1105.20764261, 1004.59930142, 14.670135498, 11.1974773407, -1.14329791069
15587, 4481, 1068.37936017, 984.051801257, 24.260175705, 14.0292034149, -0.641427755356
15850, 1643, 1142.20758602, 928.238325075, 9.43308258057, 7.22089719772, -0.516867876053
17208, 198, 1145.23324853, 949.774459258, 2.95999479294, 2.93041682243, -1.51337611675
17371, 554, 1120.99111376, 1076.97346056, 7.71777200699, 4.51517057419, -0.364989340305
17745, 2313, 1046.72463678, 1054.45274921, 17.1231918335, 8.71569347382, -0.965404033661
17884, 1225, 1026.34483938, 1059.35748221, 9.6317615509, 7.86649656296, -0.136237308383
17886, 34832, 980.939386254, 977.121778766, 42.8887252808, 21.9684066772, -1.38061320782
18030, 2576, 1027.58276439, 1027.46089406, 13.3934373856, 10.8696727753, -0.358680397272
18241, 1802, 1069.64958176, 1054.95810643, 14.1150493622, 8.20704555511, 1.01834237576
18323, 637, 994.756619794, 1062.589036, 9.65483379364, 3.81202960014, -0.350808113813
18415, 6914, 1023.96714874, 895.129992709, 7.61883544922, 6.62807369232, 1.27244603634
18602, 532, 1075.9723272, 1027.20693733, 9.71256256104, 3.62462162971, 0.776703178883
18835, 4110, 1058.15699379, 1129.27507857, 14.8438510895, 12.1561546326, -0.486284792423
19023, 2189, 1318.27040885, 1005.07674251, 15.3813390732, 10.1979589462, 0.848084688187
19048, 3955, 1046.59879091, 1134.71391879, 15.9329662323, 11.7440500259, -0.965067505836
19174, 3405, 1023.84698203, 1059.35266357, 19.03931427, 6.03769922256, -1.00237262249
19282, 202, 935.951400311, 936.510553359, 4.478079319, 3.10210204124, -0.374922037125
19323, 6127, 951.664588443, 1062.88642332, 26.1841163635, 13.3777570724, -0.292524516582
19616, 5305, 1119.06930895, 1167.56006584, 16.3390846252, 13.6615486145, 0.712512433529
20350, 7041, 915.787200216, 1127.65887397, 18.8549118042, 13.4490852356, 1.34093928337
20874, 1276, 1072.39889068, 1102.11900815, 10.0382671356, 9.08131599426, -0.227549925447
2102, 890, 1037.06245095, 1087.17173237, 9.52661037445, 4.93356323242, 0.515147030354
2440, 2679, 1060.25782144, 1044.30062371, 16.644493103, 8.39706802368, 0.512190043926
2561, 9156, 1170.27834094, 1183.26702544, 52.4779014587, 10.266456604, 0.690488576889
2635, 2761, 1027.27567184, 1048.08236589, 13.5523118973, 12.6683855057, 0.904311418533
2992, 2882, 1086.87148689, 1082.59286273, 15.4970979691, 11.9626340866, -0.651171028614
3488, 459, 1067.02701992, 1039.78012615, 5.22304296494, 4.2727599144, 1.31035721302
