#The SNR and color analysis of local environment around SDSS SNIa viewed by HST                 ,,,,,,,,,,,,,,,,
#snid, sdss g mag, sdss g uncert, sdss r mag, sdss r uncert, sdss color, sdss c olor uncert,   hst size, F475W mag, F475W SNR, F625W mag, F625W SNR, hst color, hst color uncert, use, color, color uncert
#    ,      [mag],         [mag],      [mag],         [mag],      [mag],              [mag], [1 2 or 3],     [mag],          ,     [mag],          ,     [mag],            [mag],    , [mag],        [mag]
12781,24.0674868845,0.1306025,23.1313255275,0.0580307282,0.936161357,0.1429145843,3,,7.5333070013,,10.6271243906,,,sdss,0.936161357,0.1429145843
12860,23.2457192539,0.0592489872,22.5306288588,0.0527796977,0.7150903951,0.0793482134,0,,-0.8170570793,inf,3.3590037425,,1.3603595134,hst,,1.3603595134
12874,24.8146284429,0.2310624113,23.9714121097,0.1092229288,0.8432163332,0.2555767714,3,,5.376748304,,1.6496985244,,,sdss,0.8432163332,0.2555767714
12928,23.9140527556,0.2465782588,23.5896204836,0.1996906258,0.324432272,0.317296681,3,,10.272245113,,18.281036182,,,sdss,0.324432272,0.317296681
12930,24.1980316416,0.1474315478,23.907692501,0.1301134022,0.2903391405,0.1966355988,3,,6.7900707173,,5.2162178881,,,sdss,0.2903391405,0.1966355988
13038,25.1546339707,0.3468563423,25.8589910451,0.7387755464,-0.7043570744,0.8161486569,0,,-0.6979682424,inf,2.3297289552,,1.6152978143,hst,,1.6152978143
13135,25.0669068303,0.2121542537,24.0812547701,0.0981049835,0.9856520602,0.2337392033,0,,-1.1470938967,inf,2.1142188687,,1.0711604218,hst,,1.0711604218
13354,24.4089767253,0.1366625773,23.6482779058,0.0701036017,0.7606988194,0.1535941893,3,,3.405229068,,3.7953382709,,,sdss,0.7606988194,0.1535941893
13411,23.9190132322,0.1093912096,23.0341831862,0.0529663203,0.884830046,0.121539573,2,18.8466266978,14.1865588889,18.396904162,16.8545905328,0.4497225359,0.0995060741,hst,0.4497225359,0.0995060741
13506,24.7131423372,0.2045426908,24.0507684164,0.1282326308,0.6623739208,0.2414152439,3,,7.2143460596,,1.5939969246,,,sdss,0.6623739208,0.2414152439
13615,23.3413257699,0.0765142251,22.0103784831,0.0386674473,1.3309472868,0.0857297971,0,,-0.4916731462,inf,3.6208952221,,2.216739346,hst,,2.216739346
13689,26.3245786589,0.9277372794,25.1989702543,0.4026167005,1.1256084046,1.0113341026,1,,-0.7058415038,21.7002664249,3.6778619151,,1.5580117513,hst,,1.5580117513
13894,22.7930825574,0.0397554923,22.0548988353,0.0209963243,0.7381837221,0.0449593684,0,,-0.88465437,inf,1.2711356677,,1.4873698103,hst,,1.4873698103
13896,23.8460588322,0.0902782939,23.1426157804,0.0558270532,0.7034430518,0.106145326,0,,-0.370924475,,-1.5076761635,,2.9984671291,hst,,2.9984671291
14113,22.7116141394,0.0291237473,21.8479206487,0.0176145118,0.8636934907,0.0340362113,1,20.2400017142,11.3875754515,19.3421169067,17.2473170973,0.8978848075,0.1136474065,hst,0.8978848075,0.1136474065
14157,23.1496642799,0.0491627446,22.2021775191,0.0331834804,0.9474867608,0.0593137322,3,,9.2622738885,,24.3878251775,,,sdss,0.9474867608,0.0593137322
1415,21.9257613873,0.0222186523,20.5080894714,0.0079305534,1.4176719159,0.0235915702,1,19.6106062907,15.7716523502,18.1546461325,31.42769112,1.4559601582,0.0766163481,hst,1.4559601582,0.0766163481
14279,20.8918033319,0.0083350819,20.0684981192,0.0047232232,0.8233052127,0.0095803146,1,18.7191150694,23.6743044904,17.8037565689,34.9267519911,0.9153585005,0.0551113571,hst,0.9153585005,0.0551113571
14284,21.0262480879,0.0072246472,20.1280682088,0.0040643611,0.8981798791,0.0082894245,0,inf,10.941176877,inf,17.6491039002,,0.1161385885,hst,,0.1161385885
14437,22.7602900213,0.0433990461,21.8071997625,0.0196990113,0.9530902588,0.0476605523,1,18.8057618945,25.0876424101,17.8346018236,37.6897774336,0.9711600709,0.0517139411,hst,0.9711600709,0.0517139411
14871,22.0624663597,0.0149301218,21.492013156,0.0111007901,0.5704532037,0.0186047327,1,19.2287805661,20.2405776301,18.7449869256,24.037666011,0.4837936405,0.0697549435,hst,0.4837936405,0.0697549435
14984,23.4235361277,0.0616300551,22.599839802,0.0327458302,0.8236963257,0.0697893479,3,18.320204625,12.1116701216,17.4003026603,20.3017542231,0.9199019647,0.103832964,hst,0.9199019647,0.103832964
15171,24.3897170414,0.2924840388,23.7166863663,0.1796416575,0.6730306751,0.3432463228,3,,10.7067814941,,11.9974965219,,,sdss,0.6730306751,0.3432463228
15222,24.4442424498,0.1595806399,23.3297066033,0.0773049314,1.1145358465,0.177319015,0,,-1.1065251045,inf,1.78664963,,1.1480556248,hst,,1.1480556248
