# data from sep with a SB cutoff of 26 mag/sqr-arcsec,,,,,,
# note that a, b need to be scaled by 3 to get the correct elliptical radii (silly Source Extractor!),,,,,
# SN, npix, x, y, a, b, theta
12781, 25601, 1066.06839851, 999.213434715, 31.6598644257, 25.0667419434, -0.208771824837
12860, 12704, 1038.9102288, 1162.9981706, 41.0626182556, 14.7676734924, -0.893620729446
12874, 11448, 957.830238274, 1109.949655, 35.6537094116, 20.9869689941, -1.05729234219
12928, 16505, 989.009424059, 1117.50450729, 39.1830711365, 17.459192276, 0.385236620903
12930, 30107, 1101.24281687, 1171.26369315, 52.5397415161, 37.3999137878, 1.0763733387
13038, 68, 1059.22304184, 1032.33173393, 3.22331762314, 1.61365151405, 1.24045336246
13135, 20188, 1095.22255691, 947.109171006, 39.8942604065, 14.3658790588, 1.34954750538
13354, 10449, 978.57796079, 1042.93467981, 32.0229148865, 16.8401432037, -0.360050261021
13411, 1362, 1009.25864229, 1067.7260628, 16.8715686798, 4.71323442459, -0.234889686108
13506, 2011, 1071.85507622, 1053.2432022, 14.9425268173, 6.15057849884, -0.0906262397766
13615, 1200, 1073.42548708, 1034.85490752, 8.72230911255, 5.47704839706, 0.470785737038
13689, 6872, 953.823320684, 1093.90195101, 20.4008598328, 17.3126525879, 1.1531034708
13894, 1192, 1026.12491296, 1054.47682428, 9.73606395721, 4.88220787048, -1.51750147343
13896, 765, 1036.418159, 1052.1903788, 7.38337659836, 5.90595340729, -0.134792566299
14113, 2496, 1042.67613702, 1048.81199547, 12.0888051987, 10.5205898285, -0.0377723351121
14157, 10275, 1076.45879129, 1080.58144396, 23.7932758331, 20.0503101349, -0.707080364227
1415, 12480, 1075.68357277, 1041.54817199, 25.722284317, 16.9465408325, 1.458127141
14279, 43229, 1063.84486605, 1143.87053548, 54.2143211365, 26.5367565155, -1.40717840195
14284, 3140, 1063.2073356, 1055.54925321, 14.3819131851, 4.99493932724, -1.28752195835
14437, 1645, 1072.74469988, 1110.53310257, 9.21333026886, 6.26511526108, -0.496368050575
14871, 1490, 972.011192512, 1003.01811323, 13.1174764633, 6.60952568054, -0.475972533226
14984, 9181, 1037.52869978, 1083.84283026, 25.9549427032, 20.3208274841, -1.21536099911
15171, 1572, 1062.31482839, 1092.37011617, 14.1926164627, 9.03302955627, 0.488237470388
15222, 12824, 1045.98552004, 1143.81054116, 33.4718132019, 15.8221578598, -1.44800233841
15229, 688, 1027.86547958, 1054.93872001, 6.73604440689, 5.02252149582, -0.282258987427
15345, 1671, 1063.06619689, 1032.95810603, 12.0284948349, 5.49058151245, 0.0687663629651
15461, 8196, 1105.58378091, 1002.91449926, 24.0540866852, 19.1009101868, -0.585563719273
15587, 8635, 1068.1694707, 985.192461721, 27.465045929, 17.9604034424, -0.895212173462
15850, 5655, 1143.40634841, 928.909331451, 16.8670978546, 12.3877191544, -0.137211814523
17208, 603, 1068.38098911, 1112.37934749, 7.2036948204, 5.47820281982, 1.27587628365
17371, 3517, 1116.98442705, 1074.62915846, 20.7801933289, 10.3690509796, -0.0955424532294
17745, 9155, 1047.27395053, 1057.01610833, 27.1446418762, 18.8934059143, -0.579284667969
17884, 3698, 1026.08291525, 1059.84286106, 14.9401102066, 13.3597841263, -0.884216547012
17886, 65528, 981.373816807, 975.93490913, 52.4512214661, 25.9938220978, -1.40486991405
18030, 5037, 1025.67102625, 1028.35823944, 17.7916259766, 12.9839572906, -0.364946275949
18241, 3675, 1069.97085732, 1053.70685465, 16.6962947845, 10.9268608093, 1.13665032387
18323, 1729, 996.740882103, 1062.4643489, 14.8221855164, 5.32002401352, -0.331369608641
18415, 10360, 1095.14628036, 1066.43833132, 26.3913974762, 11.3183574677, 1.47036397457
18602, 1767, 1076.66929168, 1027.27220212, 16.2350540161, 5.80608177185, 0.752774834633
18835, 11356, 1058.38809692, 1130.56344756, 22.8959903717, 18.476732254, -0.943788766861
19023, 105, 1200.88261214, 1101.64109641, 2.65987920761, 2.39820504189, -1.32622921467
19048, 7273, 1046.4147925, 1134.73123637, 17.6529827118, 15.4129953384, -1.12764275074
19174, 8907, 1022.49516577, 1060.83474235, 28.6066665649, 8.48217201233, -0.981814563274
19282, 93, 1029.73401692, 1048.94654147, 2.81584405899, 2.33961510658, -1.56026089191
19323, 19054, 952.558507971, 1064.89376299, 36.8659172058, 30.3241786957, 1.41929602623
19616, 15833, 1120.17010249, 1166.03362804, 29.3818035126, 19.6603393555, -1.47350096703
20350, 14996, 915.646423624, 1127.99225942, 24.7554416656, 17.1738834381, 1.39132761955
20874, 3512, 1072.41733777, 1102.38073083, 15.2510623932, 12.7531251907, -0.870932936668
2102, 2121, 1035.66633707, 1086.36722984, 13.0413951874, 6.29059934616, 0.484926253557
2440, 5211, 1060.42312205, 1044.70206132, 18.915813446, 10.6760845184, 0.537281394005
2561, 19452, 1168.42575512, 1181.14487765, 64.2146911621, 14.7277784348, 0.688449621201
2635, 9199, 1026.38617181, 1050.35699789, 25.8761043549, 17.9484500885, -1.56980419159
2992, 8268, 1085.00488544, 1082.24505413, 25.1509895325, 17.3277130127, -0.729576230049
3488, 1080, 1066.94987893, 1039.64375938, 6.90923118591, 5.73445701599, 1.24454367161
4019, 19526, 960.964637804, 1024.97102371, 30.494096756, 27.4187812805, -1.01583695412
5103, 1807, 1040.93660636, 1071.85550498, 11.6825323105, 8.15136241913, -1.34561228752
5550, 4291, 1024.8158882, 1047.6196959, 19.5669250488, 13.7077960968, 0.474275976419
6057, 27831, 1054.47515771, 1089.8598829, 44.830242157, 33.5811157227, -0.559426248074
6491, 31467, 1016.66888188, 966.33840414, 34.8672828674, 12.9790048599, 0.305820226669
6614, 9044, 1004.58475521, 1029.95207695, 18.498588562, 16.745721817, 0.544769227505
8297, 129, 1110.92697826, 1024.80453806, 2.83302617073, 2.61079764366, 1.4818290472
