# data from sep with a SB cutoff of who knows,,,,,,
# note that a, b need to be scaled by 6 to get the correct elliptical parameters (silly Source Extractor!), missing SN- 12928 15171 15850 19023 19616 2561],,,,
# SN, npix, x, y, a, b, theta
12781,2374,417.554628488,1284.426791,8.5159893036,7.338824749,0.8262497187
12860,1108,1220.38511449,434.512557251,8.7503442764,4.5830492973,-0.7682836652
12874,1054,371.554679506,679.062105628,7.3482046127,5.8813633919,-1.4785710573
12930,1077,1459.80692385,984.499804428,7.2475848198,5.979660511,-0.0755587071
13038,21,843.141135975,692.548747428,1.6574712992,0.8540542126,1.0760039091
13135,2083,1925.66844945,958.527207827,10.0924720764,4.80001688,1.4389135838
13354,493,1544.87504312,1281.72452624,5.2515707016,3.3401625156,-0.8891522288
13411,95,1813.05201396,690.236509533,3.2984602451,1.5463906527,-1.0987709761
13506,148,1075.86895595,596.735044443,2.6927433014,2.0288455486,-0.6116101146
13615,81,1323.26590308,376.647069318,2.3070333004,1.7469916344,1.372797966
13689,339,1696.85884366,873.851660015,3.4367945194,3.166465044,0.6764900088
13894,140,1642.91094143,154.791029731,3.0230662823,2.0576953888,1.2651395798
13896,63,1341.46531869,1283.34289888,1.7542427778,1.7233366966,-1.2135512829
14113,188,257.784837478,1114.39342489,3.3179459572,2.5027794838,-0.3362898827
14157,531,1738.61857786,537.664500599,4.3124709129,4.2252941132,-0.4684858024
1415,1314,1699.96425301,829.336009186,8.8345451355,5.2404222488,0.758230269
14279,2560,1539.71655834,429.026658888,8.8180685043,5.5276374817,1.4527719021
14284,243,327.476742435,613.118059891,2.6631853581,2.0771102905,1.5296115875
14437,102,636.198573484,454.342209387,2.0076565743,1.9410978556,-0.4104098082
14871,118,154.25175602,501.580142755,2.285702467,1.8229076862,0.9784536958
14984,542,1127.74338507,610.258835171,5.0542917252,4.4998025894,-1.5276141167
15222,1131,730.4541045,1189.03072918,8.4079494476,4.4778432846,1.2562531233
15229,66,449.65452688,132.414355105,1.7877054215,1.712651968,1.2961189747
15345,169,1717.91098769,743.0466035,2.6206889153,1.8379712105,-1.5634287596
15461,509,1293.17811577,518.901569712,4.6412563324,4.4519457817,-1.4969720841
15587,442,1517.76285781,422.534325761,4.3654985428,3.7019116879,-1.519791007
15850,337,913.096267433,402.216757179,3.8952515125,3.3426420689,-0.5283387303
17208,61,563.419364732,1068.83753739,2.020080328,1.8543319702,1.2775006294
17371,230,318.927050137,902.444791726,4.2846446037,2.3454990387,-1.1920031309
17745,455,799.021697749,810.337919905,4.5130562782,3.751241684,-0.8428021073
17884,255,1192.79838946,235.540161195,3.5132079125,2.8585336208,-0.9392581582
17886,17621,577.887182933,765.658898549,24.2589855194,13.1226100922,1.2435702086
18030,281,247.523551483,1051.96617249,3.0967233181,2.8238868713,-0.6502375007
18241,485,771.61123247,1075.88824804,6.8880567551,3.8059256077,-1.4297008514
18323,129,279.070079044,984.451304819,2.8503727913,1.781201005,-0.7125281692
18415,827,157.13825304,517.858893783,5.4783983231,4.1382350922,1.2400715351
18602,107,1792.8713243,600.266897289,2.8500213623,1.7046986818,0.4898090959
18835,762,1394.96661948,567.843605928,5.393424511,4.2448034287,-1.3073415756
19048,330,1672.0961672,741.653215808,3.1036365032,2.9237320423,-1.3211815357
19174,614,1808.74776062,296.198556426,5.4908127785,2.7947790623,-1.2241448164
19282,11,1192.15687044,849.798909446,1.2130759955,0.616337359,1.1271030903
19323,2149,255.378305737,1017.05310465,9.9620323181,7.7433128357,0.6833018661
19616,980,1759.91840635,859.543218648,6.1172771454,4.3801250458,-0.49391976
20350,937,923.637862797,786.754933569,2.6318159103,2.385673523,0.5636253357
20874,223,874.835424515,786.9585968,3.3566300869,2.6631550789,-1.2057154179
2102,127,1811.98880424,922.50890276,2.3974199295,2.0574975014,0.711376667
2440,325,1689.00632858,813.830142297,3.4159193039,2.6381881237,0.2552047968
2561,999,257.556000679,519.628067424,10.0640659332,3.297791481,0.5814557672
2635,406,261.063062103,1172.77200663,4.342441082,3.4956967831,1.5439143181
2992,704,580.659400033,707.407530102,5.7910237312,4.4418420792,-1.0290793181
3488,91,419.933196758,802.930410318,2.0939371586,1.9898363352,0.7950835228
4019,868,956.425913362,340.447841265,5.2600140572,4.7293491364,1.5443036556
5103,163,1048.2822507,66.4498838801,2.5839796066,2.4301702976,1.1034309864
5550,258,1191.40772718,1166.3460451,3.085819006,2.6733281612,0.2601664662
6057,1540,746.376178448,1166.72807244,7.4785642624,6.6167016029,-0.6651482582
6491,3926,1178.79932527,1393.22343485,7.2644815445,5.5608415604,-0.0330572575
6614,804,325.401645332,1106.00680064,4.3904476166,4.3305711746,0.5186241269
8297,34,635.447473309,872.362836954,1.3589719534,1.2771316767,0.1451519132
